1,2,3,4,5,6,7,8
51.3,2142,139,2085,784,565,36.20000076,51.8
22.4,1023.4,90,2531,736.8,294,36.59999847,98
23.8,837.6,63,14376,510,303,39.40000153,67.6
49.6,1161.2,2300,2580,461,569,40.79999924,74.9
25.4,1062,26,1499,411,232,42.20000076,97.8
60,784.2,260,1165,326,405,43.5,68.4
34.5,1086.3,117,1127,349.8,228,43.59999847,177.8
36.5,487.8,76,3215,130.4,232,44.29999924,79
21.7,677,514,10000,690,394,45.79999924,76.2
44.5,807,84,3229,266,238,45.90000153,45.7
35.1,553,90,677,199,524,46.59999847,54.9
30,1252,3700,1266,690,368,47.40000153,73.6
42.2,369.5,88,1025,340.6,464,49.79999924,87
25,293,155,955,249.6,411,49.90000153,116.6
37.4,1157.2,199,4780,350,368,50.20000076,36.2
93.4,762.2,60,696,317,487,50.59999847,34.3
68,1074,58,593,732.6,394,51.20000076,70.8
27.6,1280,79,3010,265.1,337,51.40000153,69.1
26,1002,150,1908,743.6,385,52,74
111,3680,918,15000,463.9,351,53.59999847,49.2
32.6,861,90,1396,1474.9,518,53.79999924,116.4
24.7,888.8,133,1620,323,365,54,61.3
20.2,1166.4,25,2702,160.4,515,54.20000076,53.3
41.1,950,150,1319,763.8,280,55,81
20,7000,136,1944,578,289,55.20000076,72.5
147.2,484,35,2420,191.8,255,56.70000076,43
60.9,920.6,43,2506,2440,334,57,66.6
33.1,812,34,1534,238.4,456,57,70.8
58.9,3332.4,40,1508,622.1,479,57.40000153,95.1
35.4,898,238,1558,1374,334,57.59999847,47.5
64.3,2790,37,2200,439.7,394,57.59999847,118.4
,620,49,2225,280.2,348,57.79999924,33.7
,1495,32,7960,267.2,428,58.20000076,72.9
,836,42,4001,287.3,337,58.20000076,104.8
,940,34,1067,280.7,311,58.40000153,50.1
,3080,117,3233,156.5,453,58.79999924,88.8
,1550,64,1119,455.5,328,59.5,50.5
,,48,6178,501.2,564,59.59999847,50.1
,,48,4443,385,527,59.79999924,87.5
,,42,1474,698.2,510,59.90000153,44
,,144,2508,184.7,371,60,56.5
,,,1530,595.2,824,60.09999847,75
,,,8000,110.2,292,60.5,49.6
,,,5496,523.9,345,60.5,73.8
,,,3385,1636.3,442,60.79999924,31
,,,1374,1168,360,61,77.2
,,,1245,295,371,61.40000153,20.8
,,,2299,212.8,544,62.20000076,56
,,,1345,367.4,552,62.40000153,20.1
,,,11350,144.6,651,62.5,181.8
,,,2509,78.4,190,62.79999924,57.1
,,,2006,261.9,202,62.79999924,71
,,,1180,196.3,405,63.20000076,27.3
,,,,46.8,583,63.79999924,61.2
,,,,313.8,725,63.90000153,88
,,,,319.6,232,64.80000305,53.4
,,,,621.1,974,64.80000305,32.5
,,,,824.5,456,65,59.8
,,,,,289,65.80000305,39.2
,,,,,348,66.59999847,27
,,,,,564,67.59999847,47.4
,,,,,479,68.19999695,83
,,,,,303,68.90000153,30.8
,,,,,603,70.19999695,21.8
,,,,,514,72.19999695,51.5
,,,,,377,72.40000153,34.6
,,,,,318,73.19999695,101.8
,,,,,342,73.80000305,57
,,,,,593,73.80000305,42.6
,,,,,378,74.5,49.1
,,,,,255,74.80000305,24.5
,,,,,292,75.80000305,14.8
,,,,,,75.90000153,13.2
,,,,,,77.40000153,126.8
,,,,,,78,19
,,,,,,78.59999847,47.7
,,,,,,79,55.4
,,,,,,79.59999847,55.4
,,,,,,80.19999695,82.4
,,,,,,80.80000305,71.8
,,,,,,81,55.3
,,,,,,81.30000305,49.6
,,,,,,82,49.9
,,,,,,82.69999695,22.8
,,,,,,83.19999695,58.2
,,,,,,84.19999695,83
,,,,,,86,63
,,,,,,86.59999847,40
,,,,,,88.5,35.8
,,,,,,90,50.4
,,,,,,90.40000153,54.4
,,,,,,91,45.7
,,,,,,91.19999695,68.4
,,,,,,91.5,35
,,,,,,94.80000305,31.3
,,,,,,95.40000153,105.9
,,,,,,101.8000031,40.6
,,,,,,102.4000015,31.6
,,,,,,114.0999985,41
,,,,,,124,88.5
,,,,,,130,70.8
,,,,,,145,52.5
,,,,,,153.6000061,82.5
,,,,,,,59.2
,,,,,,,91.3
,,,,,,,44.7
,,,,,,,45.9
,,,,,,,42.3
,,,,,,,26.6
,,,,,,,44
,,,,,,,34.8
,,,,,,,70.9
,,,,,,,68
,,,,,,,136.9
,,,,,,,45.1
,,,,,,,220.2
,,,,,,,53.1
,,,,,,,24.4
,,,,,,,75
,,,,,,,67.5
,,,,,,,68.3
,,,,,,,46
,,,,,,,119.8
,,,,,,,25.2
,,,,,,,32.8
,,,,,,,40.4
,,,,,,,40.5
,,,,,,,22.7
,,,,,,,15.3
,,,,,,,41.5
,,,,,,,270.2
,,,,,,,59.3
,,,,,,,33.5
,,,,,,,55.4
,,,,,,,35.7
,,,,,,,28.6
,,,,,,,22.8
,,,,,,,34.6
,,,,,,,24.4
,,,,,,,30.8
,,,,,,,90.4
,,,,,,,24.2
,,,,,,,131
,,,,,,,38.8
,,,,,,,46.8
,,,,,,,36.2
,,,,,,,28.4
,,,,,,,21
,,,,,,,44
,,,,,,,33
