CaseID,WeightMethod,Interval_RMSE,CDF_Start,CDF_End,Interval_Name
1,linear,0.0376461273798171,0,0.2,0-0.2
1,linear,0.0288863265532481,0.2,0.4,0.2-0.4
1,linear,0.0216762435869126,0.4,0.6,0.4-0.6
1,linear,0.021035386515945,0.6,0.8,0.6-0.8
1,linear,0.0190307217796779,0.8,1,0.8-1.0
1,linear,0.0264128857279977,0,1,0-1.0
2,linear,0.0720080651387769,0,0.2,0-0.2
2,linear,0.0204357980806579,0.2,0.4,0.2-0.4
2,linear,0.0118551459386932,0.4,0.6,0.4-0.6
2,linear,0.0176040439284369,0.6,0.8,0.6-0.8
2,linear,0.0174289680042304,0.8,1,0.8-1.0
2,linear,0.034961955244923,0,1,0-1.0
3,linear,0.0864689062839503,0,0.2,0-0.2
3,linear,0.0232448581166597,0.2,0.4,0.2-0.4
3,linear,0.0271450050588471,0.4,0.6,0.4-0.6
3,linear,0.0299468290860857,0.6,0.8,0.6-0.8
3,linear,0.0150554707950905,0.8,1,0.8-1.0
3,linear,0.044105489217755,0,1,0-1.0
4,linear,0.0408442029463329,0,0.2,0-0.2
4,linear,0.0234943437373045,0.2,0.4,0.2-0.4
4,linear,0.0342822587541518,0.4,0.6,0.4-0.6
4,linear,0.0171610314684265,0.6,0.8,0.6-0.8
4,linear,0.00652629582692851,0.8,1,0.8-1.0
4,linear,0.0272472112159077,0,1,0-1.0
5,linear,0.0187029080904246,0,0.2,0-0.2
5,linear,0.0239988338669246,0.2,0.4,0.2-0.4
5,linear,0.0211765335742196,0.4,0.6,0.4-0.6
5,linear,0.0171349314658149,0.6,0.8,0.6-0.8
5,linear,0.0287362170245984,0.8,1,0.8-1.0
5,linear,0.0222630062991185,0,1,0-1.0
6,linear,0.0250206592721261,0,0.2,0-0.2
6,linear,0.0198198296428848,0.2,0.4,0.2-0.4
6,linear,0.0226383626951209,0.4,0.6,0.4-0.6
6,linear,0.0242039911520743,0.6,0.8,0.6-0.8
6,linear,0.0199590005821951,0.8,1,0.8-1.0
6,linear,0.0224215764027855,0,1,0-1.0
7,linear,0.0334944481941125,0,0.2,0-0.2
7,linear,0.0285257527584009,0.2,0.4,0.2-0.4
7,linear,0.0253022925519652,0.4,0.6,0.4-0.6
7,linear,0.0202962169539481,0.6,0.8,0.6-0.8
7,linear,0.0140179485825387,0.8,1,0.8-1.0
7,linear,0.0252272583113506,0,1,0-1.0
8,linear,0.0104947855819275,0,0.2,0-0.2
8,linear,0.0114057559902617,0.2,0.4,0.2-0.4
8,linear,0.0126687137251094,0.4,0.6,0.4-0.6
8,linear,0.0197369446818628,0.6,0.8,0.6-0.8
8,linear,0.00655816766178333,0.8,1,0.8-1.0
8,linear,0.012909567382556,0,1,0-1.0
1,quadratic,0.0540462541787303,0,0.2,0-0.2
1,quadratic,0.0240366876309346,0.2,0.4,0.2-0.4
1,quadratic,0.0225674429026179,0.4,0.6,0.4-0.6
1,quadratic,0.0225568469658213,0.6,0.8,0.6-0.8
1,quadratic,0.0167267449110904,0.8,1,0.8-1.0
1,quadratic,0.0307377870078905,0,1,0-1.0
2,quadratic,0.0830094484892425,0,0.2,0-0.2
2,quadratic,0.0113973164992056,0.2,0.4,0.2-0.4
2,quadratic,0.0146261853719309,0.4,0.6,0.4-0.6
2,quadratic,0.0157879513843186,0.6,0.8,0.6-0.8
2,quadratic,0.0154543574111128,0.8,1,0.8-1.0
2,quadratic,0.0383569940972264,0,1,0-1.0
3,quadratic,0.10738502505925,0,0.2,0-0.2
3,quadratic,0.0229052044125389,0.2,0.4,0.2-0.4
3,quadratic,0.025021056799296,0.4,0.6,0.4-0.6
3,quadratic,0.027180524817814,0.6,0.8,0.6-0.8
3,quadratic,0.0153128168305213,0.8,1,0.8-1.0
3,quadratic,0.0517663893756588,0,1,0-1.0
4,quadratic,0.0507784594459116,0,0.2,0-0.2
4,quadratic,0.0234891240267767,0.2,0.4,0.2-0.4
4,quadratic,0.0325194512371814,0.4,0.6,0.4-0.6
4,quadratic,0.0174862036286099,0.6,0.8,0.6-0.8
4,quadratic,0.00729632363818337,0.8,1,0.8-1.0
4,quadratic,0.0298998685974033,0,1,0-1.0
5,quadratic,0.0477199682374599,0,0.2,0-0.2
5,quadratic,0.0394060345299682,0.2,0.4,0.2-0.4
5,quadratic,0.0273277960231956,0.4,0.6,0.4-0.6
5,quadratic,0.0213725869437663,0.6,0.8,0.6-0.8
5,quadratic,0.0200935679648625,0.8,1,0.8-1.0
5,quadratic,0.0328443541702547,0,1,0-1.0
6,quadratic,0.0250855031232349,0,0.2,0-0.2
6,quadratic,0.0248714676832592,0.2,0.4,0.2-0.4
6,quadratic,0.024420275409089,0.4,0.6,0.4-0.6
6,quadratic,0.0242825586153937,0.6,0.8,0.6-0.8
6,quadratic,0.0185287947983075,0.8,1,0.8-1.0
6,quadratic,0.0235963651067139,0,1,0-1.0
7,quadratic,0.0544212257599002,0,0.2,0-0.2
7,quadratic,0.0297253836287665,0.2,0.4,0.2-0.4
7,quadratic,0.0221175923963868,0.4,0.6,0.4-0.6
7,quadratic,0.0193301224938972,0.6,0.8,0.6-0.8
7,quadratic,0.013703033860097,0.8,1,0.8-1.0
7,quadratic,0.0311064720551476,0,1,0-1.0
8,quadratic,0.0115326525091947,0,0.2,0-0.2
